yil/ay/gun,yil,ay,ayAdi,gun,gunAdi,saat,dakika,saniye,konum,alanIsmi,tasitTipi
2024/10/24,2024,10,Ekim,24,Perşembe,18,7,50,kampus_giris,poly_down,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,7,51,kampus_giris,poly_up,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,13,50,kampus_giris,poly_up,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,17,40,kampus_giris,poly_up,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,20,51,kampus_giris,poly_up,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,20,51,kampus_giris,poly_up,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,20,52,kampus_giris,poly_up,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,21,17,kampus_giris,poly_up,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,21,18,kampus_giris,poly_up,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,33,50,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,41,31,kampus_giris,giris,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,41,31,kampus_giris,cikis,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,32,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,32,kampus_giris,cikis,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,34,kampus_giris,giris,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,43,kampus_giris,cikis,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,45,kampus_giris,cikis,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,46,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,44,53,kampus_giris,cikis,bus
2024/10/24,2024,10,Ekim,24,Perşembe,18,47,21,kampus_giris,giris,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,47,35,kampus_giris,cikis,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,47,43,kampus_giris,cikis,ambulance
2024/10/24,2024,10,Ekim,24,Perşembe,18,47,49,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,47,51,kampus_giris,cikis,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,48,8,kampus_giris,cikis,motorcycle
2024/10/24,2024,10,Ekim,24,Perşembe,18,48,18,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,48,22,kampus_giris,cikis,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,48,24,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,48,28,kampus_giris,giris,car
2024/10/24,2024,10,Ekim,24,Perşembe,18,50,55,kampus_giris,giris,bus
2024/10/24,2024,10,Ekim,24,Perşembe,18,51,8,kampus_giris,giris,car
