yil/ay/gun,yil,ay,ayAdi,gun,gunAdi,saat,dakika,saniye,konum,alanIsmi,tasitTipi
2025/2/5,2025,2,Şubat,5,Çarşamba,1281,1281,1281,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,1429,1429,1429,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,1688,1688,1688,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,1975,1975,1975,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,2365,2365,2365,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,2603,2603,2603,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,3079,3079,3079,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,4011,4011,4011,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,4072,4072,4072,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,4185,4185,4185,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,4304,4304,4304,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,4479,4479,4479,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,4555,4555,4555,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,5289,5289,5289,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,5336,5336,5336,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,5401,5401,5401,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,6147,6147,6147,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,8188,8188,8188,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,8350,8350,8350,kampusGiris,cikis,van
2025/2/5,2025,2,Şubat,5,Çarşamba,9838,9838,9838,kampusGiris,giris,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,11001,11001,11001,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,11231,11231,11231,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,11530,11530,11530,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,12217,12217,12217,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,12384,12384,12384,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,12925,12925,12925,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,13637,13637,13637,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,13743,13743,13743,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,14787,14787,14787,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,14901,14901,14901,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,15136,15136,15136,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,15960,15960,15960,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,16941,16941,16941,kampusGiris,giris,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,17291,17291,17291,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,17540,17540,17540,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,17688,17688,17688,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,18502,18502,18502,kampusGiris,cikis,motorcycle
2025/2/5,2025,2,Şubat,5,Çarşamba,18653,18653,18653,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,19165,19165,19165,kampusGiris,giris,car
2025/2/5,2025,2,Şubat,5,Çarşamba,20440,20440,20440,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,20566,20566,20566,kampusGiris,cikis,car
2025/2/5,2025,2,Şubat,5,Çarşamba,21135,21135,21135,kampusGiris,cikis,motorcycle
